date;weights
04/05/2017;1.11661065
04/05/2017;1.1644939
04/05/2017;1.18332406
04/05/2017;1.17791952
04/05/2017;1.20116069
04/05/2017;1.22535248
04/05/2017;1.20381798
04/05/2017;1.24254913
04/05/2017;1.1926376
04/05/2017;1.2073092
04/05/2017;1.22933888
04/05/2017;1.22130518
04/05/2017;1.24115275
04/05/2017;1.27381271
04/05/2017;1.27718363
04/05/2017;1.29708518
04/05/2017;1.26489338
04/05/2017;1.27744173
04/05/2017;1.28339247
04/05/2017;1.22663246
04/05/2017;1.21450145
04/05/2017;1.21997217
04/05/2017;1.18069067
04/05/2017;1.18414849
04/05/2017;1.20232509
04/05/2017;1.2089673
04/05/2017;1.19764464
04/05/2017;1.1993357
04/05/2017;1.21738151
04/05/2017;1.19394505
04/05/2017;1.21991028
04/05/2017;1.17945746
04/05/2017;1.22328802
04/05/2017;1.17981716
04/05/2017;1.23013744
04/05/2017;1.19014563
04/05/2017;1.18615891
04/05/2017;1.19938213
04/05/2017;1.19785553
04/05/2017;1.19307349
04/05/2017;1.22163112
04/05/2017;1.19719557
04/05/2017;1.17717086
04/05/2017;1.13752546
04/05/2017;1.08306346
04/05/2017;1.11808555
04/05/2017;1.10850095
04/05/2017;1.11327433
05/05/2017;1.13164252
05/05/2017;1.11520237
05/05/2017;1.1236596
05/05/2017;1.11894197
05/05/2017;1.10870607
05/05/2017;1.09325167
05/05/2017;1.11810723
05/05/2017;1.14084538
05/05/2017;1.16035043
05/05/2017;1.15727793
05/05/2017;1.14365859
05/05/2017;1.13017284
05/05/2017;1.11266273
05/05/2017;1.13941061
05/05/2017;1.17381774
05/05/2017;1.12983646
05/05/2017;1.14229477
05/05/2017;1.14645085
05/05/2017;1.11762094
05/05/2017;1.07582135
05/05/2017;1.05048182
05/05/2017;1.062744201
05/05/2017;1.09110915
05/05/2017;1.07068881
05/05/2017;1.07688627
05/05/2017;1.10598065
05/05/2017;1.08278551
05/05/2017;1.09254796
05/05/2017;1.07423823
05/05/2017;1.08941358
05/05/2017;1.09160649
05/05/2017;1.10737078
05/05/2017;1.12861052
05/05/2017;1.13536815
05/05/2017;1.12018966
05/05/2017;1.12000421
05/05/2017;1.14179171
05/05/2017;1.15506094
05/05/2017;1.20763063
05/05/2017;1.11983185
05/05/2017;1.10170917
05/05/2017;1.13592976
05/05/2017;1.20053854
05/05/2017;1.20488816
05/05/2017;1.17996862
05/05/2017;1.18732124
05/05/2017;1.14964206
05/05/2017;1.1157791
06/05/2017;1.13191139
06/05/2017;1.15057735
06/05/2017;1.16871373
06/05/2017;1.17285197
06/05/2017;1.18061597
06/05/2017;1.19872457
06/05/2017;1.21110661
06/05/2017;1.22770155
06/05/2017;1.2052057
06/05/2017;1.18220019
06/05/2017;1.174238
06/05/2017;1.16621754
06/05/2017;1.14603625
06/05/2017;1.17613868
06/05/2017;1.20944346
06/05/2017;1.19557563
06/05/2017;1.17165501
06/05/2017;1.16805475
06/05/2017;1.16452739
06/05/2017;1.17776901
06/05/2017;1.17695448
06/05/2017;1.16438903
06/05/2017;1.17484955
06/05/2017;1.17019071
06/05/2017;1.17788445
06/05/2017;1.18846939
06/05/2017;1.19885299
06/05/2017;1.19947932
06/05/2017;1.190563
06/05/2017;1.16974044
06/05/2017;1.2025932
06/05/2017;1.20854212
06/05/2017;1.25006646
06/05/2017;1.25779161
06/05/2017;1.27945458
06/05/2017;1.32948025
06/05/2017;1.31060954
06/05/2017;1.32654417
06/05/2017;1.2781677
06/05/2017;1.26883534
06/05/2017;1.22697475
06/05/2017;1.19840565
06/05/2017;1.19186042
06/05/2017;1.18675386
06/05/2017;1.16860706
06/05/2017;1.15299549
06/05/2017;1.10221904
06/05/2017;1.09993071
07/05/2017;1.14335798
07/05/2017;1.19452843
07/05/2017;1.15928465
07/05/2017;1.12569656
07/05/2017;1.06993845
07/05/2017;1.10352807
07/05/2017;1.05047399
07/05/2017;1.06486965
07/05/2017;1.06657363
07/05/2017;1.10613129
07/05/2017;1.15291666
07/05/2017;1.17140057
07/05/2017;1.16265402
07/05/2017;1.17578592
07/05/2017;1.15525154
07/05/2017;1.167522451
07/05/2017;1.24615239
07/05/2017;1.202299645
07/05/2017;1.215728552
07/05/2017;1.175394204
07/05/2017;1.19097221
07/05/2017;1.180454106
07/05/2017;1.18654483
07/05/2017;1.17538645
07/05/2017;1.20291392
07/05/2017;1.23186934
07/05/2017;1.266918367
07/05/2017;1.282674962
07/05/2017;1.299557025
07/05/2017;1.2451885
07/05/2017;1.207273949
07/05/2017;1.20969562
07/05/2017;1.211642655
07/05/2017;1.151770381
07/05/2017;1.15684702
07/05/2017;1.19406357
07/05/2017;1.08265062
07/05/2017;1.045955575
07/05/2017;1.050326118
07/05/2017;1.023524924
07/05/2017;1.0255768
07/05/2017;1.01404295
07/05/2017;0.93767139
07/05/2017;0.88776263
07/05/2017;0.88236378
07/05/2017;0.89867021
07/05/2017;0.92424942
07/05/2017;0.944515865
08/05/2017;0.935806662
08/05/2017;0.934941592
08/05/2017;0.95339349
08/05/2017;0.979897967
08/05/2017;1.02713415
08/05/2017;1.154792822
08/05/2017;1.272166868
08/05/2017;1.356174714
08/05/2017;1.353779022
08/05/2017;1.380327513
08/05/2017;1.315501948
08/05/2017;1.37006774
08/05/2017;1.375998723
08/05/2017;1.37512433
08/05/2017;1.389561824
08/05/2017;1.38066455
08/05/2017;1.358277811
08/05/2017;1.312304541
08/05/2017;1.289739429
08/05/2017;1.307309374
08/05/2017;1.30757949
08/05/2017;1.31632669
08/05/2017;1.184156272
08/05/2017;1.138522467
08/05/2017;1.083874744
08/05/2017;1.034149033
08/05/2017;1.08593311
08/05/2017;1.115880541
08/05/2017;1.24607701
08/05/2017;1.1691141
08/05/2017;1.20788581
08/05/2017;1.132798314
08/05/2017;1.13695695
08/05/2017;1.21104106
08/05/2017;1.266026761
08/05/2017;1.177711648
08/05/2017;1.23909212
08/05/2017;1.18771046
08/05/2017;1.153005713
08/05/2017;1.20983356
08/05/2017;1.162055979
08/05/2017;1.183025985
08/05/2017;1.18163472
08/05/2017;1.162250255
08/05/2017;1.05430542
08/05/2017;1.03312586
08/05/2017;1.04063147
08/05/2017;1.077523064
09/05/2017;1.10030228
09/05/2017;1.11530274
09/05/2017;1.114898227
09/05/2017;1.089112789
09/05/2017;1.0713079
09/05/2017;1.03271538
09/05/2017;1.107328372
09/05/2017;1.11027916
09/05/2017;1.17446917
09/05/2017;1.135640598
09/05/2017;1.063348259
09/05/2017;1.118039328
09/05/2017;1.1310513
09/05/2017;1.066044419
09/05/2017;1.33204365
09/05/2017;1.409638564
09/05/2017;1.243060328
09/05/2017;1.100251018
09/05/2017;1.231824019
09/05/2017;1.165042461
09/05/2017;1.061170197
09/05/2017;1.10275695
09/05/2017;1.196321539
09/05/2017;1.163830228
09/05/2017;1.183876983
09/05/2017;1.182552367
09/05/2017;1.29289516
09/05/2017;1.39142775
09/05/2017;1.3562554
09/05/2017;1.318390159
09/05/2017;1.366208333
09/05/2017;1.388647333
09/05/2017;1.26912689
09/05/2017;1.22119292
09/05/2017;1.29807002
09/05/2017;1.40044306
09/05/2017;1.32959801
09/05/2017;1.30923798
09/05/2017;1.31474254
09/05/2017;1.31139381
09/05/2017;1.30440035
09/05/2017;1.206931075
09/05/2017;1.06492774
09/05/2017;1.01875688
09/05/2017;1.060827056
09/05/2017;1.072684759
09/05/2017;0.96701648
09/05/2017;0.91694078
10/05/2017;0.919428996
10/05/2017;0.912606325
10/05/2017;0.927700327
10/05/2017;1.003798321
10/05/2017;1.069040624
10/05/2017;1.1996319
10/05/2017;1.251132241
10/05/2017;1.065754791
10/05/2017;1.04178722
10/05/2017;1.1038174
10/05/2017;1.276968
10/05/2017;1.31155851
