date;0.1MDD;0.4MDD;0.5MDD;datealt;CRIX
04/05/2017;1;1;1;04/05/2017;1
04/05/2017;1.002057;1.005965;1.005418;05/05/2017;1.023827029
04/05/2017;1.00846;1.01654;1.017529;06/05/2017;1.045628887
04/05/2017;1.013369;1.024824;1.025564;07/05/2017;1.07548966
04/05/2017;1.014657;1.027576;1.028188;08/05/2017;1.084357094
04/05/2017;1.019363;1.035835;1.03685;09/05/2017;1.045781319
04/05/2017;1.017015;1.031905;1.033971;10/05/2017;1.055323737
04/05/2017;1.022796;1.041228;1.03882;11/05/2017;1.032865884
04/05/2017;1.028681;1.050438;1.046529;12/05/2017;1.094777012
04/05/2017;1.028192;1.049562;1.045978;13/05/2017;1.07338547
04/05/2017;1.037894;1.066814;1.060748;14/05/2017;1.085173454
04/05/2017;1.032466;1.060088;1.037964;15/05/2017;1.128359534
04/05/2017;1.039767;1.072039;1.058765;16/05/2017;1.115035946
04/05/2017;1.033848;1.062352;1.046009;17/05/2017;1.222279634
04/05/2017;1.024607;1.044546;1.032219;18/05/2017;1.208903353
04/05/2017;1.016852;1.033679;1.020239;19/05/2017;1.225522824
04/05/2017;1.030469;1.054069;1.040757;20/05/2017;1.217206981
04/05/2017;1.029781;1.052215;1.038942;21/05/2017;1.271000595
04/05/2017;1.042108;1.071982;1.059142;22/05/2017;1.230429598
04/05/2017;1.044478;1.075612;1.062938;23/05/2017;1.261842781
04/05/2017;1.050302;1.089337;1.076608;24/05/2017;1.232558806
04/05/2017;1.0416;1.074168;1.060672;25/05/2017;1.203781239
04/05/2017;1.047008;1.081942;1.068852;26/05/2017;1.182055696
04/05/2017;1.044561;1.078236;1.064811;27/05/2017;1.188212476
04/05/2017;1.044675;1.081247;1.067759;28/05/2017;1.194440321
04/05/2017;1.045941;1.082088;1.067743;29/05/2017;1.207727625
04/05/2017;1.036445;1.067462;1.052494;30/05/2017;1.255947352
04/05/2017;1.046122;1.088331;1.073417;31/05/2017;1.272854105
04/05/2017;1.044208;1.084902;1.070278;01/06/2017;1.294059051
04/05/2017;1.041039;1.078797;1.064159;02/06/2017;1.277072163
04/05/2017;1.047983;1.090656;1.073993;03/06/2017;1.256114609
04/05/2017;1.044163;1.08324;1.066875;04/06/2017;1.309704961
04/05/2017;1.045018;1.082474;1.064002;05/06/2017;1.273804182
04/05/2017;1.038626;1.076639;1.059783;06/06/2017;1.267202726
04/05/2017;1.033383;1.062769;1.045931;07/06/2017;1.279390947
04/05/2017;1.038893;1.079076;1.060676;08/06/2017;1.273896478
04/05/2017;1.04161;1.086678;1.0685;09/06/2017;1.296602108
04/05/2017;1.057642;1.103477;1.093576;10/06/2017;1.331995498
04/05/2017;1.065236;1.119003;1.108299;11/06/2017;1.340800029
