date;Leverage;No leverage;datealt;CRIX
02/09/2018;1;1;02/09/2018;1
02/09/2018;1.000223;0.999893;03/09/2018;1.010702923
02/09/2018;1.001157;0.998981;04/09/2018;0.987026485
02/09/2018;1.001019;0.999833;05/09/2018;1.093439164
02/09/2018;1.000518;1.001826;06/09/2018;0.998661206
02/09/2018;0.999359;1.000536;07/09/2018;0.991604168
02/09/2018;0.999011;1.003563;08/09/2018;0.999773513
02/09/2018;0.998884;1.002294;09/09/2018;0.948070475
02/09/2018;0.999025;1.001915;10/09/2018;0.948324519
02/09/2018;0.998807;1.000488;11/09/2018;0.952561705
02/09/2018;0.998505;1.002944;12/09/2018;0.932161228
02/09/2018;0.998325;1.002548;13/09/2018;0.913013946
02/09/2018;0.998324;1.001833;14/09/2018;0.957829546
02/09/2018;0.99824;0.998938;15/09/2018;0.950113987
02/09/2018;0.998173;0.994605;16/09/2018;0.964651742
02/09/2018;0.999328;1.0089;17/09/2018;0.997351878
02/09/2018;0.998901;1.008197;18/09/2018;0.932015459
02/09/2018;0.998987;1.008079;19/09/2018;0.959150873
02/09/2018;0.998886;1.007213;20/09/2018;0.947178602
02/09/2018;0.998728;1.000414;21/09/2018;0.966651666
02/09/2018;0.998529;0.99349;22/09/2018;1.047324614
02/09/2018;0.998601;0.993497;23/09/2018;1.042592953
02/09/2018;0.998642;1.001496;24/09/2018;1.066297634
02/09/2018;0.998667;1.007492;25/09/2018;1.04118806
02/09/2018;0.998714;1.01126;26/09/2018;1.020808521
02/09/2018;0.998788;1.012076;27/09/2018;0.989235158
02/09/2018;0.998891;1.013713;28/09/2018;1.044229982
02/09/2018;0.998697;1.012099;29/09/2018;1.03431336
02/09/2018;0.998576;1.010384;30/09/2018;1.039963451
02/09/2018;0.998572;1.010466;01/10/2018;1.048422058
02/09/2018;0.998396;1.011521;02/10/2018;1.056112075
02/09/2018;0.998384;1.00867;03/10/2018;1.035328028
02/09/2018;0.998387;1.008906;04/10/2018;1.016348385
02/09/2018;0.998376;1.007694;05/10/2018;1.017312519
02/09/2018;0.998262;1.006531;06/10/2018;1.031574076
02/09/2018;0.998229;1.002967;07/10/2018;1.016239087
02/09/2018;0.998212;0.99957;08/10/2018;1.010572492
02/09/2018;0.998149;0.996125;09/10/2018;1.027306131
02/09/2018;0.998042;0.986163;10/10/2018;1.027709608
02/09/2018;0.997999;0.980493;11/10/2018;1.077516724
02/09/2018;0.997978;0.976034;12/10/2018;0.974799792
02/09/2018;0.997982;0.977931;13/10/2018;0.991964873
02/09/2018;0.997991;0.983207;14/10/2018;0.997738568
02/09/2018;0.997991;0.986444;15/10/2018;0.939402999
02/09/2018;0.997982;0.97862;16/10/2018;1.000999315
02/09/2018;0.997969;0.976557;17/10/2018;1.005553953
02/09/2018;0.997969;0.980529;18/10/2018;1.019633386
02/09/2018;0.998031;0.982561;19/10/2018;1.000636628
03/09/2018;0.998139;0.985216;20/10/2018;0.993745048
03/09/2018;0.998047;0.986472;21/10/2018;0.999833278
03/09/2018;0.998053;0.990858;22/10/2018;1.002483857
03/09/2018;0.998024;0.993702;23/10/2018;1.000854352
03/09/2018;0.998022;0.991465;24/10/2018;0.992909656
03/09/2018;0.998016;0.99148;25/10/2018;0.995853259
03/09/2018;0.997942;0.98908;26/10/2018;0.994470991
03/09/2018;0.997939;0.992698;27/10/2018;0.993931222
03/09/2018;0.997937;0.991995;28/10/2018;0.989847181
03/09/2018;0.997905;0.991097;29/10/2018;1.020198803
03/09/2018;0.997901;0.989054;30/10/2018;0.984141219
03/09/2018;0.997899;0.990279;31/10/2018;0.986965494
03/09/2018;0.997899;0.991093;01/11/2018;0.988130297
03/09/2018;0.9979;0.991603;;
03/09/2018;0.997886;0.989176;;
03/09/2018;0.997957;0.99159;;
03/09/2018;0.997967;0.991941;;
