ETH,LTC,XRP,reversed_USDT,ETC,DASH,XMR,XEM,FCT,GNT,ZEC
0.23931967,0.05374634,0.21457508,0.24368027,0.15826271,0.15608244,0.23159759,0.15219948,0.11959247,0.23997468,0.1909672
0.30921808,0.04628844,0.10005427,0.26364413,0.158117,0.12662528,0.20458075,0.20098957,0.12598543,0.19180827,0.27268732
0.35108498,0.02907011,0.06130781,0.27923,0.19171387,0.20207696,0.21782985,0.22520323,0.07729234,0.18486133,0.18032776
0.32000393,0.06167269,0.07598165,0.29225352,0.17465407,0.25165108,0.19770789,0.12943293,0.12368917,0.22800092,0.14495026
0.26424062,0.09555624,0.04458618,0.267538,0.19972652,0.30236626,0.21870372,0.1290075,0.12954628,0.18255611,0.16617073
0.18761438,0.22022504,0.07143363,0.26590773,0.18495777,0.21421129,0.20240887,0.15751205,0.1319589,0.19468589,0.16908282
0.1606434,0.25301307,0.03238629,0.28504652,0.1556846,0.1694753,0.21123146,0.15925805,0.13610843,0.22158243,0.2155686
0.07592264,0.43494487,0.03057831,0.27063784,0.1200149,0.21119471,0.19115914,0.15060909,0.09798246,0.17136833,0.24558617
0.08337313,0.36762664,0.10410347,0.29885212,0.15251651,0.20601936,0.15853883,0.1435257,0.12190352,0.11457456,0.2489646
0.09990196,0.24275774,0.15627168,0.27498454,0.11379106,0.19689442,0.17045642,0.13841182,0.19158608,0.11383686,0.30110613
0.09085204,0.20289482,0.21135865,0.32639977,0.13240166,0.18463463,0.22197819,0.25556406,0.09283073,0.06790048,0.2131834
0.11433555,0.41186222,0.16060822,0.32163715,0.14639731,0.18921566,0.2083084,0.18733574,0.06485868,0.03859475,0.15684494
0.13348079,0.31380802,0.10351588,0.33879006,0.18382457,0.25377786,0.24151765,0.171213,0.08929501,0.04192259,0.12885316
0.13872553,0.1915327,0.15279584,0.30497345,0.21018909,0.27324143,0.25748438,0.1677523,0.08659178,0.05901432,0.15769903
0.2129416,0.1132742,0.12628385,0.25996962,0.2574609,0.2561936,0.26920292,0.15186007,0.13514212,0.10300837,0.11466257
0.18888476,0.10859223,0.10213619,0.2574191,0.24359824,0.26507074,0.283955,0.18563107,0.10367972,0.12841646,0.13261648
0.18119608,0.09186898,0.06157788,0.28168288,0.27334467,0.29484606,0.24547224,0.16615756,0.12887087,0.14058587,0.1343969
0.14823331,0.07952038,0.04472497,0.27393916,0.21455519,0.32224527,0.24442431,0.15510914,0.22085813,0.12871097,0.16767906
0.1109162,0.12111656,0.03269653,0.28197047,0.17078741,0.22741778,0.22183251,0.17550105,0.35076803,0.12434021,0.1826531
0.12034228,0.20065932,0.04268057,0.26355553,0.09504382,0.16014993,0.23048969,0.16359605,0.42341015,0.1442753,0.15579717
0.17509419,0.1553161,0.06171323,0.29978302,0.1099228,0.1647954,0.31309614,0.21106575,0.22367907,0.12280915,0.16272487
0.1709712,0.13998353,0.09733046,0.2901619,0.14063466,0.16709,0.37318122,0.17623328,0.20739865,0.11637493,0.12064022
